iter	Accuracy	Logloss
462	0.8723110549	0.2912173463
463	0.8720809847	0.2910954798
464	0.872541125	0.2909565773
465	0.8728862303	0.2907225423
466	0.8728862303	0.2905396387
467	0.8730012654	0.2903497357
468	0.8734614057	0.2902116306
469	0.8736914759	0.2900172215
470	0.8736914759	0.2898939622
471	0.8735764408	0.2897381554
472	0.8734614057	0.2896234911
473	0.8735764408	0.2894743488
474	0.8734614057	0.2893007788
475	0.873806511	0.2890615782
476	0.873806511	0.2889469044
477	0.8735764408	0.2887067793
478	0.8736914759	0.2885393301
479	0.8739215461	0.2882806615
480	0.8740365812	0.2881147247
481	0.8741516162	0.2880519904
482	0.8742666513	0.2879370241
483	0.8741516162	0.2878367469
484	0.8742666513	0.2877361713
485	0.8741516162	0.2876194932
486	0.8742666513	0.2875070817
487	0.8743816864	0.2873347193
488	0.8743816864	0.2872158659
489	0.8743816864	0.2870848014
490	0.8742666513	0.2869483482
491	0.8744967215	0.2868007006
492	0.8746117566	0.2866872266
493	0.8748418268	0.2865545088
494	0.8757621074	0.2863385774
495	0.8756470724	0.2861925679
496	0.8754170022	0.2860807065
497	0.8755320373	0.2859993776
498	0.8757621074	0.2856878666
499	0.8756470724	0.2855132049
500	0.8758771425	0.2853858519
501	0.8758771425	0.2851788266
502	0.8761072127	0.2850107906
503	0.876452318	0.2848560723
504	0.876567353	0.2847766499
505	0.8763372829	0.2846135306
506	0.8766823881	0.2844435893
507	0.8767974232	0.284329666
508	0.8769124583	0.2842413581
509	0.8767974232	0.2840605024
510	0.8766823881	0.2839672793
511	0.8766823881	0.2838913727
512	0.8767974232	0.2837089495
513	0.8771425285	0.283502672
514	0.8773725986	0.2832051355
515	0.8771425285	0.2829980777
516	0.8773725986	0.2827349293
517	0.8772575636	0.2825911722
518	0.8772575636	0.2824462479
519	0.8771425285	0.2823320748
520	0.8772575636	0.282111767
521	0.8774876337	0.2818973582
522	0.8774876337	0.2816605628
523	0.8781778442	0.2814225218
524	0.8788680548	0.2811985957
525	0.8786379846	0.2810302165
